target midpoint
0,5 0,6323637
0,5 0,6323638
0,5 0,554808
0,5 0,5548131
0,5 0,5548079
0,5 0,5812071
0,5 0,5752329
0,5 0,4803128
0,5 0,4803111
0,5 0,4843743
0,5 0,4144788
0,5 0,4133928
0,5 0,3962207
0,5 0,3947021
0,5 0,4022063
0,5 0,4072938
0,5 0,415809
0,5 0,4113231
0,5 0,4143583
0,5 0,4143583
0,5 0,4033363
0,5 0,4042534
0,5 0,4047435
0,5 0,3921885
0,5 0,4065108
0,5 0,4065108
0,5 0,4065108
0,5 0,3801603
0,5 0,3801603
0,5 0,3906811
0,5 0,3911946
0,5 0,3839554
0,5 0,389494
0,5 0,3834453
0,5 0,381371
0,5 0,3961592
0,5 0,3850831
0,5 0,3927554
0,5 0,373266
0,5 0,3945451
0,5 0,3974836
0,5 0,3910208
0,5 0,3866332
0,5 0,3922571
0,5 0,4167692
0,5 0,4042031
0,5 0,4068322
0,5 0,4164619
0,5 0,4255403
0,5 0,4093337

1 0,6770554
1 0,8377525
1 0,7050624
1 0,7593309
1 0,7906554
1 0,836333
1 0,9487677
1 0,9558729
1 0,9601542
1 0,9002079
1 0,861385
1 0,861385
1 0,861385
1 0,8744228
1 0,8744228
1 0,8744228
1 0,8577393
1 0,9446495
1 0,9511669
1 0,9511669
1 0,8198093
1 0,8198093
1 0,8921103
1 0,9659085
1 0,9659085
1 0,9430586
1 0,9430586
1 0,9430586
1 0,8023548
1 0,8500522
1 0,9086076
1 0,7820032
1 0,7820032
1 0,7819281
1 0,7955838
1 0,7014525
1 0,7014525
1 0,7905864
1 0,7905864
1 0,8518277
1 0,8518277
1 0,8822775
1 0,8822557
1 0,8822557
1 0,8008904
1 0,7946475
1 0,8335002
1 0,7918559
1 0,79348
1 0,79348
1 0,8211671
1 0,8291988
1 0,8115402
1 0,8079473
1 0,8042029
1 0,8285007
1 0,9355633
1 0,8133054
1 0,8368201
1 0,8504674
1 0,7441587
1 0,7256954
1 0,8159113
1 0,8949394
1 0,9069366
1 0,9069366
1 0,7937348
1 0,7937348
1 0,7937348
1 0,8030941
1 0,8356366
1 0,8718227
1 0,8617517
1 0,8617517
1 0,8344017
1 0,8344017
1 0,7816613
1 0,7929278
1 0,8280724
1 0,8280724
1 0,8280724
1 0,8280724
1 0,8280724
1 0,7898787
1 0,8029677
1 0,8679923
1 0,876422
1 0,8770946
1 0,7954214
1 0,7904258
1 0,789728
1 0,8038878
1 0,8230227
1 0,8230227
1 0,7929773
1 0,7950352
1 0,8057321
1 0,8158555
1 0,8233119

1,5 0,8276405
1,5 0,8675405
1,5 0,8626344
1,5 0,8711629
1,5 0,8908573
1,5 0,8867179
1,5 0,8508707
1,5 0,8500788
1,5 0,8874328
1,5 0,8652611
1,5 0,89662
1,5 0,8976606
1,5 0,8976606
1,5 1,007964
1,5 1,069509
1,5 1,05197
1,5 1,053
1,5 1,053
1,5 1,258002
1,5 1,264525
1,5 1,204524
1,5 1,215048
1,5 1,279652
1,5 1,290166
1,5 1,50336
1,5 1,364351
1,5 1,357834
1,5 1,46495
1,5 1,338331
1,5 1,338331
1,5 1,338331
1,5 1,338331
1,5 1,338331
1,5 1,338331
1,5 1,338331
1,5 1,338331
1,5 1,338331
1,5 1,252562
1,5 1,283527
1,5 1,233009
1,5 1,233009
1,5 1,318674
1,5 1,306723
1,5 1,314955
1,5 1,376277
1,5 1,344453
1,5 1,394906
1,5 1,239947
1,5 1,239947
1,5 1,239947
1,5 1,239947
1,5 1,239947
1,5 1,239947
1,5 1,239947
1,5 1,239947
1,5 1,239947
1,5 1,239947
1,5 1,297868
1,5 0,9713502
1,5 1,15868
1,5 1,15868
1,5 1,15868
1,5 1,188589
1,5 1,193898
1,5 1,193898
1,5 1,193898
1,5 1,218756
1,5 1,242328
1,5 1,238264
1,5 1,516631
1,5 1,516631
1,5 1,48864
1,5 1,087744
1,5 1,201625
1,5 1,021486
1,5 1,021486
1,5 0,9973536
1,5 1,136303
1,5 1,619753
1,5 1,15876
1,5 1,201585
1,5 1,253258
1,5 1,195623
1,5 1,202874
1,5 1,183459
1,5 1,221721
1,5 1,165254
1,5 1,142226
1,5 1,132699
1,5 1,132699
1,5 1,173015

2 1,173015
2 1,219834
2 1,20389
2 1,20389
2 1,200297
2 1,35904
2 1,349086
2 1,349625
2 1,517923
2 1,708883
2 1,711816
2 2,048602
2 2,048602
2 1,876796
2 1,876796
2 1,876796
2 1,591011
2 1,576646
2 1,578842
2 1,671384
2 1,674675
2 1,674675
2 1,636394
2 1,787128
2 1,960773
2 2,075295
2 1,914643
2 1,877165
2 1,712222
2 1,711848
2 1,711848
2 2,059444
2 2,14848
2 2,170541
2 2,170541
2 1,672315
2 1,672315
2 1,782646
2 1,782558
2 1,782558
2 1,66686
2 1,66686
2 1,859733
2 1,898435
2 1,898435
2 1,814476
2 1,814476
2 1,795582
2 1,831089
2 1,910294
2 1,969593
2 1,969477
2 2,544003
2 2,609669
2 1,767471
2 2,136706
2 1,889203
2 1,851578
2 1,851578
2 1,851578
2 1,714264
2 1,596239
2 1,372614
2 1,484536
2 1,570608
2 1,649524
2 1,649452
2 1,67825
2 1,41801
2 1,41801
2 1,41801
2 1,41801
2 1,572382
2 1,572383
2 1,625632
2 1,389283
2 1,389283
2 1,582839
2 1,345657
2 1,525111
2 1,280604
2 1,407296
2 1,433575
2 1,433575
2 1,276714
2 1,383461
2 1,516887
2 1,549544
2 1,42248
2 1,439238
2 1,501036
2 1,470763
2 1,500362
2 1,500362
2 1,500362
2 1,500362
2 1,500362
2 1,500362
2 1,500362
2 1,500362

2,5 1,500362
2,5 1,500362
2,5 1,500362
2,5 1,4821
2,5 1,495628
2,5 1,530179
2,5 1,530011
2,5 1,669643
2,5 1,697756
2,5 1,69768
2,5 1,847345
2,5 1,852114
2,5 1,756449
2,5 2,013283
2,5 2,029627
2,5 2,029627
2,5 1,739021
2,5 1,595301
2,5 1,885454
2,5 1,752653
2,5 1,752653
2,5 1,752653
2,5 1,647846
2,5 1,893457
2,5 1,909303
2,5 1,735471
2,5 1,966505
2,5 1,974946
2,5 2,152691
2,5 1,66444
2,5 1,664359
2,5 1,88905
2,5 2,036911
2,5 2,14877
2,5 1,582328
2,5 1,582261
2,5 1,307347
2,5 1,307395
2,5 1,665967
2,5 1,723359
2,5 1,614499
2,5 1,918682
2,5 1,70425
