target midpoint
0,5 0,9472014
0,5 0,6002405
0,5 0,6002405
0,5 0,6002405
0,5 0,6002405
0,5 0,6002405
0,5 0,6002405
0,5 0,6002405
0,5 0,6002405
0,5 0,6002405
0,5 0,6002405
0,5 0,4681594
0,5 0,4725652
0,5 0,4503709
0,5 0,3888562
0,5 0,3907271
0,5 0,4073941
0,5 0,390139
0,5 0,390139
0,5 0,3926893
0,5 0,3926893
0,5 0,3828492
0,5 0,3815438
0,5 0,379547
0,5 0,3722309
0,5 0,4358387
0,5 0,4358386
0,5 0,4261103
0,5 0,3778391
0,5 0,3754378
0,5 0,374054
0,5 0,374054

0,75 0,4919809
0,75 0,5068047
0,75 0,5228813
0,75 0,4971421
0,75 0,4971421
0,75 0,5995682
0,75 0,5995681
0,75 0,5995681
0,75 0,5995681
0,75 0,637924
0,75 0,5836477
0,75 0,5707726
0,75 0,5707726
0,75 0,5707726
0,75 0,6290367
0,75 0,5804468
0,75 0,5804468
0,75 0,5804468
0,75 0,5861406
0,75 0,579203
0,75 0,5990331
0,75 0,626183
0,75 0,6539583
0,75 0,606814
0,75 0,6025446
0,75 0,6025446
0,75 0,6025446
0,75 0,6025446
0,75 0,6025446
0,75 0,6025446
0,75 0,5984653
0,75 0,5984653
0,75 0,5984653
0,75 0,5984653
0,75 0,5984653
0,75 0,5984653
0,75 0,5984653
0,75 0,5984653
0,75 0,6000971
0,75 0,6000971
0,75 0,6000971
0,75 0,6000971
0,75 0,6000971
0,75 0,5961745
0,75 0,7004663
0,75 0,7810634
0,75 0,635114
0,75 0,6796305
0,75 0,6797647
0,75 0,6066858
0,75 0,6336581

1 0,730051
1 0,8022875
1 0,8022953
1 0,818541
1 0,8274766
1 0,8458789
1 0,8672071
1 0,8712237
1 0,8712237
1 0,8489514
1 0,8595071
1 0,8595071
1 0,8595071
1 0,8351433
1 0,8326178
1 0,7821081
1 0,8621886
1 0,7638025
1 0,971094
1 0,971094
1 0,7530515
1 1,101596
1 1,101596
1 1,10043
1 0,8429281
1 0,9134668
1 0,838475
1 0,8152034
1 0,8066407
1 0,8066407
1 0,8066407
1 0,7799928
1 0,7854553
1 0,7784416
1 0,7784485
1 0,7893366
1 0,7893292
1 0,7874585
1 0,7922178
1 0,7880554
1 0,8958739
1 0,8932356
1 0,9308655
1 0,9272785
1 0,9557981
1 0,9549419
1 0,9449736
1 0,9558839
1 0,9558839

1,25 1,199399
1,25 1,230326
1,25 1,23253
1,25 1,193314
1,25 1,193314
1,25 1,193314
1,25 0,9884121
1,25 0,9723883
1,25 0,9749643
1,25 0,9228721
1,25 0,9915585
1,25 0,9471926
1,25 0,9471926
1,25 0,9612976
1,25 1,080033
1,25 1,080033
1,25 0,9220458
1,25 0,9220458
1,25 0,9220458
1,25 0,955425
1,25 0,9480731
1,25 0,9480731
1,25 0,9480731
1,25 0,9480731
1,25 0,9480731
1,25 1,012853
1,25 0,9090419
1,25 1,009073
1,25 1,002438
1,25 1,006671
1,25 1,015295
1,25 1,075365

1,5 1,069311
1,5 1,063203
1,5 1,063203
1,5 1,298953
1,5 0,8024343

1,75 1,468579
1,75 1,436778
1,75 1,436778
1,75 1,501533
1,75 1,501477
1,75 1,175571
1,75 1,415076
1,75 1,415076
1,75 1,415076

2 1,353996
2 1,353996
2 1,657559
2 1,657559
2 1,954444
2 1,969022
2 1,969022
2 1,969022
2 1,969022
2 1,969022
2 1,969022
2 1,721003
2 1,707683
2 2,381223
2 1,440013
2 1,440068
2 0,9761018
2 0,9761018
2 0,976102
2 2,215822

2,25 1,700572
2,25 1,700572
2,25 1,945783
2,25 1,945666
2,25 2,241766
2,25 2,02412
2,25 1,947376
2,25 1,947376
2,25 2,147271
2,25 2,147271
2,25 2,117505
2,25 2,117505
2,25 2,117505
2,25 2,037152
2,25 2,116894
2,25 1,59911
2,25 1,599172
2,25 1,599172
2,25 1,59911
2,25 2,08742
2,25 2,08728
2,25 2,08728

2,5 1,689811
2,5 1,685541
2,5 1,702925
2,5 2,404739
2,5 1,761299
2,5 1,799274
2,5 1,517337
2,5 1,79339
2,5 1,780793
2,5 1,825931
2,5 1,830701
2,5 1,891825
2,5 1,868731
2,5 1,868731
2,5 1,515146
2,5 1,515146
2,5 1,515146
2,5 1,515146
2,5 1,515146
2,5 1,515146
2,5 1,882055
2,5 1,882055
2,5 1,995948
2,5 1,995948
2,5 1,995948

2,75 3,649047
2,75 3,649047
2,75 3,649047
2,75 3,649047
2,75 3,820917
2,75 3,987285
2,75 3,986341
2,75 3,846223
2,75 3,385464
2,75 3,502898
2,75 3,502898
2,75 3,502898
2,75 3,673263
2,75 3,673263
2,75 3,673263
2,75 3,673263
2,75 3,673263
2,75 3,673263
2,75 2,980368
2,75 2,827545
2,75 2,828224

