target midpoint
0,5 1,17469
0,5 1,17469
0,5 1,17469
0,5 0,9464759
0,5 0,9464882
0,5 0,8568308
0,5 0,5914331
0,5 0,5914331
0,5 0,563508
0,5 0,5540973
0,5 0,5541
0,5 0,5541
0,5 0,5541
0,5 0,5541
0,5 0,5541
0,5 0,5541
0,5 0,5541
0,5 0,5541
0,5 0,4431015
0,5 0,4412452
0,5 0,3869731
0,5 0,3827251
0,5 0,3865596
0,5 0,3677887
0,5 0,3649758
0,5 0,3649758
0,5 0,3649758
0,5 0,3649758
0,5 0,3832355
0,5 0,3730329
0,5 0,3713457
0,5 0,3668873
0,5 0,3961566
0,5 0,3873058
0,5 0,3895037
0,5 0,3903427

0,75 0,3895954
0,75 0,3895954
0,75 0,3895954
0,75 0,4036975
0,75 0,4149226
0,75 0,416326
0,75 0,7432216
0,75 0,7524714
0,75 0,7238198
0,75 0,681401
0,75 0,6209391
0,75 0,6246296
0,75 0,6374273
0,75 0,6291584
0,75 0,6600395
0,75 0,6685215
0,75 0,668526
0,75 0,6188966
0,75 0,6288245
0,75 0,6365821
0,75 0,6365784
0,75 0,6036885
0,75 0,6036885
0,75 0,6973491
0,75 0,6929578
0,75 0,694927
0,75 0,6855279
0,75 0,5920156
0,75 0,6598556
0,75 0,7131652
0,75 0,7131652
0,75 0,6402138
0,75 0,6417506
0,75 0,6167128
0,75 0,568872
0,75 0,568872
0,75 0,544275
0,75 0,5827976
0,75 0,5378233
0,75 0,6118168
0,75 0,6141438
0,75 0,6156111
0,75 0,6154595
0,75 0,5693009
0,75 0,5558838
0,75 0,6207181
0,75 0,5879582
0,75 0,5993868
0,75 0,5992544
0,75 0,6623142
0,75 0,6623142
0,75 0,6646168
0,75 0,6592026

1 0,8977148
1 0,9205998
1 0,922513
1 0,922513
1 0,922513
1 0,9045382
1 0,9095268
1 0,8669341
1 0,8691747
1 0,7995415
1 0,9070914
1 0,8589969
1 0,7967254
1 0,8079145
1 0,8822393
1 0,8994469
1 0,8253966
1 0,8392469
1 0,8456585
1 0,8585415
1 0,7931526
1 0,8110328
1 0,9249932
1 0,9295048

1,25 0,7905465
1,25 0,8722274
1,25 0,8504438
1,25 0,8583966
