target midpoint
1,25 0,9771577
1,25 0,9256597
1,25 0,945967
1,25 1,152082
1,25 1,437732
1,25 1,263686
1,25 1,308249
1,25 1,236225
1,25 1,236252
1,25 1,158304
1,25 1,166346
1,25 1,159315
1,25 1,190609
1,25 1,190609
1,25 1,190609
1,25 1,113801
1,25 1,1595
1,25 1,103109
1,25 1,154987
1,25 1,154987
1,25 1,154987
1,25 1,1888
1,25 1,1888
1,25 1,1888
1,25 1,1888
1,25 1,1888
1,25 1,1888
1,25 1,130602
1,25 1,093655
1,25 1,249241
1,25 1,249241
1,25 1,101881
1,25 1,055944
1,25 1,101789
1,25 1,022255
1,25 1,072785
1,25 1,072785
1,25 1,145791
1,25 1,127657
1,25 1,127657
1,25 1,127635
1,25 1,114712
1,25 1,097807
1,25 1,028453
1,25 1,028453
1,25 1,028453
1,25 1,087789
1,25 1,098006
1,25 1,097985
1,25 1,08415
1,25 1,073899
1,25 1,029892
1,25 1,029892
1,25 1,070256
1,25 1,070256
1,25 1,030822
1,25 1,016052
1,25 1,033201
1,25 1,154525
1,25 1,10745
1,25 1,050737
1,25 1,050737

1,5 1,168327
1,5 1,168327
1,5 1,200265
1,5 1,179287
1,5 1,116899
1,5 1,454115
1,5 1,229894
1,5 1,229923
1,5 1,534364
1,5 1,50747
1,5 1,239646
1,5 1,427463
1,5 1,532221
1,5 2,017999
1,5 2,017875
1,5 1,456303
1,5 1,356904
1,5 1,356904
1,5 1,46617
1,5 1,402055
1,5 1,342477
1,5 1,692851
1,5 1,803489
1,5 1,330159
1,5 1,299856
1,5 1,298223
1,5 1,30482
1,5 1,249086
1,5 1,249026
1,5 1,393167
1,5 1,383794
1,5 1,311497
1,5 1,308823
1,5 1,35806
1,5 1,566419
1,5 1,566419
1,5 1,566419
1,5 1,566419
1,5 1,566419
1,5 1,566419
1,5 1,566419
1,5 1,566419
1,5 1,566419
1,5 1,275352
1,5 1,390566
1,5 1,390566
1,5 1,390566
1,5 1,380358
1,5 1,380358
1,5 1,380358
1,5 1,443131
1,5 1,335417
1,5 1,335452
1,5 1,800677
1,5 1,800677
1,5 1,800677
1,5 1,800677
1,5 1,800677
1,5 1,800677
1,5 1,800677
1,5 1,800677
1,5 1,551685
1,5 1,772106
1,5 1,843263
1,5 1,7643
1,5 1,764299
1,5 1,309359
1,5 1,543276
1,5 1,511693

1,75 1,40981
1,75 1,739039
1,75 1,533686
1,75 1,497463
1,75 2,052058
1,75 2,052058
1,75 1,540625
1,75 1,540625
1,75 1,386613
1,75 1,459278
1,75 1,589724
1,75 1,460154
1,75 1,366551
1,75 1,36659
1,75 2,208031
1,75 2,208031
1,75 2,208032
1,75 1,328387
1,75 1,328458
1,75 2,032983
1,75 1,849284
1,75 1,738242
1,75 1,738242
1,75 1,778541
1,75 1,750852
1,75 1,654349
1,75 1,629544
1,75 1,731285
1,75 1,731285
1,75 1,652387
1,75 1,652319
1,75 1,607593
1,75 1,649084
1,75 1,649083
1,75 1,649083
1,75 1,638882
1,75 1,638816
1,75 1,765603
1,75 1,765685
1,75 1,804432
1,75 1,913089
1,75 1,640326
1,75 1,752519
1,75 1,752519
1,75 1,81483
1,75 1,82868
1,75 2,224707
1,75 2,224707
1,75 1,880802
1,75 2,057786
1,75 2,02809
1,75 2,027815
1,75 2,027815
1,75 1,848565

2 2,133891
2 1,866306
2 2,186867
2 2,186867
2 2,186867
2 2,074557
2 2,074422
2 2,02849
2 1,752302
2 1,754204
2 1,822287
2 1,762244
2 1,490266
2 1,490266
2 1,490266
2 1,544142
2 1,673831
2 1,673831
2 1,640714
2 1,640714
2 1,640714
2 1,475127

2,25 1,80386
2,25 1,888342
2,25 1,915623
2,25 2,110261
2,25 2,030869

2,5 2,178885
2,5 2,098279
2,5 1,939757
2,5 1,939757
2,5 1,939757
2,5 1,803977
2,5 1,93139
2,5 2,070961
2,5 1,662628
2,5 1,662628
2,5 2,082978
2,5 1,355001
2,5 1,311959
2,5 2,700472
2,5 2,700472
2,5 2,71029
2,5 2,812068
2,5 2,741252
2,5 2,105648
2,5 2,763525
2,5 2,663152
2,5 2,943709
2,5 2,159573
2,5 2,720486
2,5 2,73486
2,5 2,91071
2,5 1,640692
2,5 2,676588
2,5 2,54
2,5 2,54
2,5 2,54
2,5 2,54
2,5 2,54
2,5 2,54
2,5 2,54
2,5 2,382802
2,5 2,04548
2,5 2,04548
2,5 2,079686
2,5 2,126958
2,5 2,160713
2,5 2,160409
2,5 2,02915
2,5 2,207235
2,5 2,207065
2,5 2,032046
2,5 2,153116
2,5 2,319489
2,5 2,272371
2,5 2,272552
2,5 2,195123
2,5 2,1486
2,5 2,649509
2,5 2,729272
2,5 1,996338
2,5 2,701886
2,5 2,172491
2,5 2,031455
2,5 1,995789
2,5 2,130193
2,5 2,130488
2,5 2,176129
2,5 2,352989
2,5 2,033538
2,5 2,033664
2,5 2,14765
2,5 2,017453
2,5 2,017576
2,5 1,897773
2,5 2,374535
2,5 2,100095
2,5 2,100095

2,75 2,948411
2,75 2,234855
2,75 2,761967
2,75 2,761966
2,75 2,380893
2,75 2,380893
2,75 2,127736
2,75 1,985105
2,75 1,984985
2,75 2,738986
2,75 2,738679
2,75 2,405235
2,75 2,644216
2,75 2,87253
2,75 2,716647
2,75 2,593019
2,75 2,128246
2,75 2,769834
2,75 2,769834
2,75 2,534661
2,75 2,65541
2,75 2,503588
2,75 2,67587
2,75 3,284144
2,75 2,644809
2,75 2,404302
2,75 2,680699
2,75 2,807852
2,75 2,808781
2,75 3,160784
2,75 2,463962
2,75 2,446932
2,75 2,447445
2,75 2,982045
2,75 2,982045
2,75 2,769083
2,75 2,769083
2,75 2,668905
2,75 2,59145
2,75 2,59145
2,75 2,59145
2,75 2,591714
2,75 2,924194
2,75 3,458585
2,75 3,458585
2,75 3,458585
2,75 3,458585
2,75 3,231569
2,75 2,031527

